pelayanan_id,poli_id,pelayanan_nm,pelayanan_jml
84,3,Vulva higineKelas 1,804
85,3,Vulva higineKelas 2,1237
86,3,Vulva higineKelas 3,6243
87,3,Vulva higinevip,13345
88,3,MemandikanKelas 1,2652
89,3,MemandikanKelas 2,4043
90,3,MemandikanKelas 3,20695
91,3,Memandikanvip,94
92,3,Membantu BAB/BAKKelas 1,4762
93,3,Membantu BAB/BAKKelas 2,6233
94,3,Membantu BAB/BAKKelas 3,31069
95,3,Membantu BAB/BAKvip,2960
96,3,Pemberian diit sondeKelas 1,NULL
97,3,Pemberian diit sondeKelas 2,NULL
98,3,Pemberian diit sondeKelas 3,NULL
99,3,Pemberian diit sondevip,NULL
100,3,Blader triningKelas 1,NULL
101,3,Blader triningKelas 2,NULL
102,3,Blader triningKelas 3,NULL
103,3,Blader triningvip,NULL
104,3,Kompres Kelas 1,NULL
105,3,Kompres Kelas 2,NULL
106,3,Kompres Kelas 3,NULL
107,3,Kompres vip,NULL
108,3,kompres hangat/dingin/buli-buli hangatKelas 1,4843
109,3,kompres hangat/dingin/buli-buli hangatKelas 2,5996
110,3,kompres hangat/dingin/buli-buli hangatKelas 3,26351
111,3,kompres hangat/dingin/buli-buli hangatvip,5205
112,3,Kompresi bimanual externaKelas 1,2
113,3,Kompresi bimanual externaKelas 2,2
114,3,Kompresi bimanual externaKelas 3,11
115,3,Kompresi bimanual externavip,73
116,3,Kompresi bimanual internaKelas 1,161
117,3,Kompresi bimanual internaKelas 2,81
118,3,Kompresi bimanual internaKelas 3,299
119,3,Kompresi bimanual internavip,NULL
120,3,perawatan luka kotorKelas 1,NULL
121,3,perawatan luka kotorKelas 2,NULL
122,3,perawatan luka kotorKelas 3,NULL
123,3,perawatan luka kotorvip,NULL
124,3,Perawatan luka kotor < 5 cmKelas 1,5
125,3,Perawatan luka kotor < 5 cmKelas 2,NULL
126,3,Perawatan luka kotor < 5 cmKelas 3,8
127,3,Perawatan luka kotor < 5 cmvip,NULL
128,3,Perawatan luka kotor > 10 cm (Khusus RI) (ISO)Kelas 1,NULL
129,3,Perawatan luka kotor > 10 cm (Khusus RI) (ISO)Kelas 2,NULL
130,3,Perawatan luka kotor > 10 cm (Khusus RI) (ISO)Kelas 3,7
131,3,Perawatan luka kotor > 10 cm (Khusus RI) (ISO)vip,NULL
132,3,Perawatan luka kotor 5-10 cmKelas 1,498
133,3,Perawatan luka kotor 5-10 cmKelas 2,450
134,3,Perawatan luka kotor 5-10 cmKelas 3,2632
135,3,Perawatan luka kotor 5-10 cmvip,64
136,3,Perawatan luka bersihKelas 1,NULL
137,3,Perawatan luka bersihKelas 2,NULL
138,3,Perawatan luka bersihKelas 3,NULL
139,3,Perawatan luka bersihvip,NULL
140,3,Perawatan luka bersih < 5 cmKelas 1,5
141,3,Perawatan luka bersih < 5 cmKelas 2,5
142,3,Perawatan luka bersih < 5 cmKelas 3,13
143,3,Perawatan luka bersih < 5 cmvip,267
144,3,Perawatan luka bersih > 10 cmKelas 1,319
145,3,Perawatan luka bersih > 10 cmKelas 2,291
146,3,Perawatan luka bersih > 10 cmKelas 3,1643
147,3,Perawatan luka bersih > 10 cmvip,41
148,3,Perawatan luka bersih 5-10 cmKelas 1,971
149,3,Perawatan luka bersih 5-10 cmKelas 2,907
150,3,Perawatan luka bersih 5-10 cmKelas 3,5826
151,3,Perawatan luka bersih 5-10 cmvip,33
152,3,Memasang NGTKelas 1,66
153,3,Memasang NGTKelas 2,49
154,3,Memasang NGTKelas 3,266
155,3,Memasang NGTvip,5
156,3,mamasang dcKelas 1,203
157,3,mamasang dcKelas 2,153
158,3,mamasang dcKelas 3,741
159,3,mamasang dcvip,40
160,3,merekam ekgKelas 1,672
161,3,merekam ekgKelas 2,361
162,3,merekam ekgKelas 3,2130
163,3,merekam ekgvip,70
164,3,sampling urineKelas 1,196
165,3,sampling urineKelas 2,121
166,3,sampling urineKelas 3,688
167,3,sampling urinevip,37
168,3,sampling vecesKelas 1,NULL
169,3,sampling vecesKelas 2,NULL
170,3,sampling vecesKelas 3,NULL
171,3,sampling vecesvip,NULL
172,3,sampling tcm/dahakKelas 1,NULL
173,3,sampling tcm/dahakKelas 2,NULL
174,3,sampling tcm/dahakKelas 3,NULL
175,3,sampling tcm/dahakvip,NULL
176,3,Sampling dahakKelas 1,40
177,3,Sampling dahakKelas 2,37
178,3,Sampling dahakKelas 3,254
179,3,Sampling dahakvip,6
180,3,menghitung balance cairanKelas 1,14871
181,3,menghitung balance cairanKelas 2,9210
182,3,menghitung balance cairanKelas 3,46336
183,3,menghitung balance cairanvip,2083
184,3,Balance cairanKelas 1,14871
185,3,Balance cairanKelas 2,9210
186,3,Balance cairanKelas 3,46336
187,3,Balance cairanvip,2083
188,3,syring pumpKelas 1,NULL
189,3,syring pumpKelas 2,NULL
190,3,syring pumpKelas 3,NULL
191,3,syring pumpvip,NULL
192,3,Pengelolaan th/dg syring pumpKelas 1,300
193,3,Pengelolaan th/dg syring pumpKelas 2,224
194,3,Pengelolaan th/dg syring pumpKelas 3,1382
195,3,Pengelolaan th/dg syring pumpvip,42
196,3,infus pumpKelas 1,NULL
197,3,infus pumpKelas 2,NULL
198,3,infus pumpKelas 3,NULL
199,3,infus pumpvip,NULL
200,3,Memasang infus pumpKelas 1,63
201,3,Memasang infus pumpKelas 2,24
202,3,Memasang infus pumpKelas 3,173
203,3,Memasang infus pumpvip,8
204,3,memberikan tranfusi darahKelas 1,NULL
205,3,memberikan tranfusi darahKelas 2,NULL
206,3,memberikan tranfusi darahKelas 3,NULL
207,3,memberikan tranfusi darahvip,NULL
208,3,Pengelolaan transfusiKelas 1,479
209,3,Pengelolaan transfusiKelas 2,435
210,3,Pengelolaan transfusiKelas 3,3243
211,3,Pengelolaan transfusivip,29
212,3,Melatih ROMKelas 1,NULL
213,3,Melatih ROMKelas 2,NULL
214,3,Melatih ROMKelas 3,NULL
215,3,Melatih ROMvip,NULL
216,3,nebulizerKelas 1,1948
217,3,nebulizerKelas 2,999
218,3,nebulizerKelas 3,5681
219,3,nebulizervip,270
220,3,melepas DCKelas 1,NULL
221,3,melepas DCKelas 2,NULL
222,3,melepas DCKelas 3,NULL
223,3,melepas DCvip,NULL
224,3,Melepas DC pada pasien hidupKelas 1,609
225,3,Melepas DC pada pasien hidupKelas 2,517
226,3,Melepas DC pada pasien hidupKelas 3,2658
227,3,Melepas DC pada pasien hidupvip,86
228,3,melepas infusKelas 1,4213
229,3,melepas infusKelas 2,2495
230,3,melepas infusKelas 3,12367
231,3,melepas infusvip,665
232,3,melepas NGTKelas 1,NULL
233,3,melepas NGTKelas 2,NULL
234,3,melepas NGTKelas 3,NULL
235,3,melepas NGTvip,NULL
236,3,Melepas NGT pada pasien hidupKelas 1,53
237,3,Melepas NGT pada pasien hidupKelas 2,48
238,3,Melepas NGT pada pasien hidupKelas 3,287
239,3,Melepas NGT pada pasien hidupvip,4
240,3,melepas tamponKelas 1,NULL
241,3,melepas tamponKelas 2,NULL
242,3,melepas tamponKelas 3,NULL
243,3,melepas tamponvip,NULL
244,4,Akomodasi Perawatan Akomodasi Perawatan Bayi Kelas I,34500
245,4,Akomodasi Perawatan Akomodasi Perawatan Bayi Kelas II,12500
246,4,Akomodasi Perawatan Akomodasi Perawatan Bayi Kelas III,6350
247,4,Akomodasi Perawatan Akomodasi Perawatan Bayi UTAMA,68000
248,4,Akomodasi Perawatan Akomodasi Perawatan Bayi VIP,79500
249,4,Akomodasi Perawatan Akomodasi Perawatan RI Kelas I,69000
250,4,Akomodasi Perawatan Akomodasi Perawatan RI Kelas II,25000
251,4,Akomodasi Perawatan Akomodasi Perawatan RI Kelas III,12700
252,4,Akomodasi Perawatan Akomodasi Perawatan RI UTAMA,136000
253,4,Akomodasi Perawatan Akomodasi Perawatan RI VIP,159000
254,4,Akomodasi Perawatan Akomodasi Perawatan RI VVIP,418000
255,4,Akomodasi Perawatan Akomodasi Perawatan RI ICU INTENSIF,164000
256,4,Akomodasi Perawatan Akomodasi Perawatan RI ICU Kelas I,164000
257,4,Akomodasi Perawatan Akomodasi Perawatan RI ICU Kelas II,164000
258,4,Akomodasi Perawatan Akomodasi Perawatan RI ICU Kelas III,12700
259,4,Akomodasi Perawatan Akomodasi Perawatan RI ICU UTAMA,164000
260,4,Akomodasi Perawatan Akomodasi Perawatan RI ICU VIP,164000
261,4,Akomodasi Perawatan Akomodasi Perawatan RI ICU VVIP,164000
262,4,Alat Pelindung Diri Satu Set BMHP dan APD Kelas I,2480000
263,4,Alat Pelindung Diri Satu Set BMHP dan APD Kelas II,2480000
264,4,Alat Pelindung Diri Satu Set BMHP dan APD Kelas III,2480000
265,4,Alat Pelindung Diri Satu Set BMHP dan APD VIP,2480000
266,4,Billing System Billing System Kelas I,2000
267,4,Billing System Billing System Kelas II,2000
268,4,Billing System Billing System Kelas III,2000
269,4,Billing System Billing System UTAMA,2000
270,4,Billing System Billing System VIP,2000
271,4,Billing System Billing System (IGD) Kelas II,2000
272,4,Billing System Billing System (IGD) Kelas III,2000
273,4,eHAC eHAC Kelas II,15000
274,4,KIR Administrasi RM Kelas I,2500
275,4,KIR Administrasi RM Kelas II,2500
276,4,KIR Administrasi RM Kelas III,2500
277,4,Pelayanan Instalasi Gizi Makanan Gizi Kelas I,33100
278,4,Pelayanan Instalasi Gizi Makanan Gizi Kelas II,24200
279,4,Pelayanan Instalasi Gizi Makanan Gizi Kelas III,19600
280,4,Pelayanan Instalasi Gizi Makanan Gizi UTAMA,36800
281,4,Pelayanan Instalasi Gizi Makanan Gizi VIP,39600
282,4,Pelayanan Instalasi Gizi Makanan Gizi VVIP,132000
283,4,Pelayanan Instalasi Gizi Makanan Gizi (ICU) Kelas I,33100
284,4,Pelayanan Instalasi Gizi Makanan Gizi (ICU) Kelas II,24200
285,4,Pelayanan Instalasi Gizi Makanan Gizi (ICU) Kelas III,19600
286,4,Pelayanan Instalasi Gizi Makanan Gizi (ICU) UTAMA,36800
287,4,Pelayanan Instalasi Gizi Makanan Gizi (ICU) VIP,39600
288,4,Pelayanan Instalasi Gizi Makanan Gizi (ICU) VVIP,132000
289,4,Pelayanan Lain-Lain Ambulan Air Conditioner Per-KM (PP) Kelas I,6500
290,4,Pelayanan Lain-Lain Ambulan Air Conditioner Per-KM (PP) Kelas II,6500
291,4,Pelayanan Lain-Lain Ambulan Air Conditioner Per-KM (PP) Kelas III,6500
292,4,Pelayanan Lain-Lain Ambulan Air Conditioner Per-KM (PP) UTAMA,6500
293,4,Pelayanan Lain-Lain Ambulan Air Conditioner Per-KM (PP) VIP,6500
294,4,Pelayanan Lain-Lain Ambulan Dalam Kota 1-6 km Kelas I,50000
295,4,Pelayanan Lain-Lain Ambulan Dalam Kota 1-6 km Kelas II,50000
296,4,Pelayanan Lain-Lain Ambulan Dalam Kota 1-6 km Kelas III,50000
297,4,Pelayanan Lain-Lain Ambulan Dalam Kota 1-6 km UTAMA,50000
298,4,Pelayanan Lain-Lain Ambulan Dalam Kota 1-6 km VIP,50000
299,4,Pelayanan Lain-Lain Ambulan Jenazah Per-KM (PP) Kelas I,6500
300,4,Pelayanan Lain-Lain Ambulan Jenazah Per-KM (PP) Kelas II,6500
301,4,Pelayanan Lain-Lain Ambulan Jenazah Per-KM (PP) Kelas III,6500
302,4,Pelayanan Lain-Lain Ambulan Jenazah Per-KM (PP) UTAMA,6500
303,4,Pelayanan Lain-Lain Ambulan Jenazah Per-KM (PP) VIP,6500
304,4,Pelayanan Lain-Lain Ambulan Non Air Conditioner Per-KM (PP) Kelas I,6000
305,4,Pelayanan Lain-Lain Ambulan Non Air Conditioner Per-KM (PP) Kelas II,6000
306,4,Pelayanan Lain-Lain Ambulan Non Air Conditioner Per-KM (PP) Kelas III,6000
307,4,Pelayanan Lain-Lain Ambulan Non Air Conditioner Per-KM (PP) UTAMA,6000
308,4,Pelayanan Lain-Lain Ambulan Non Air Conditioner Per-KM (PP) VIP,6000
309,4,Pelayanan Lain-Lain Limbah cair infeksius Kelas I,15000
310,4,Pelayanan Lain-Lain Limbah cair infeksius Kelas II,15000
311,4,Pelayanan Lain-Lain Limbah cair infeksius Kelas III,15000
312,4,Pelayanan Lain-Lain Limbah cair infeksius UTAMA,15000
313,4,Pelayanan Lain-Lain Limbah cair infeksius VIP,15000
314,4,Pelayanan Lain-Lain Limbah cair infeksius VVIP,15000
315,4,Pelayanan Lain-Lain Sampah biologi/jaringan Kelas I,30000
316,4,Pelayanan Lain-Lain Sampah biologi/jaringan Kelas II,30000
317,4,Pelayanan Lain-Lain Sampah biologi/jaringan Kelas III,30000
318,4,Pelayanan Lain-Lain Sampah biologi/jaringan UTAMA,30000
319,4,Pelayanan Lain-Lain Sampah biologi/jaringan VIP,30000
320,4,Pelayanan Lain-Lain Sampah padat infeksius Kelas I,30000
321,4,Pelayanan Lain-Lain Sampah padat infeksius Kelas II,30000
322,4,Pelayanan Lain-Lain Sampah padat infeksius Kelas III,30000
323,4,Pelayanan Lain-Lain Sampah padat infeksius UTAMA,30000
324,4,Pelayanan Lain-Lain Sampah padat infeksius VIP,30000
325,4,Pelayanan Lain-Lain Sampah padat non infeksius Kelas I,20000
326,4,Pelayanan Lain-Lain Sampah padat non infeksius Kelas II,20000
327,4,Pelayanan Lain-Lain Sampah padat non infeksius Kelas III,20000
328,4,Pelayanan Lain-Lain Sampah padat non infeksius UTAMA,20000
329,4,Pelayanan Lain-Lain Sampah padat non infeksius VIP,20000
330,4,Pelayanan Laundry Linen infeksius besar (<= 4 pcs/kg) Kelas I,14000
331,4,Pelayanan Laundry Linen infeksius besar (<= 4 pcs/kg) Kelas II,14000
332,4,Pelayanan Laundry Linen infeksius besar (<= 4 pcs/kg) Kelas III,14000
333,4,Pelayanan Laundry Linen infeksius besar (<= 4 pcs/kg) UTAMA,14000
334,4,Pelayanan Laundry Linen infeksius besar (<= 4 pcs/kg) VIP,14000
335,4,Pelayanan Laundry Linen infeksius besar (<= 4 pcs/kg) VVIP,14000
336,4,Pelayanan Laundry Linen infeksius kecil (>= 5 pcs/kg) Kelas I,10000
337,4,Pelayanan Laundry Linen infeksius kecil (>= 5 pcs/kg) Kelas II,10000
338,4,Pelayanan Laundry Linen infeksius kecil (>= 5 pcs/kg) Kelas III,10000
339,4,Pelayanan Laundry Linen infeksius kecil (>= 5 pcs/kg) UTAMA,10000
340,4,Pelayanan Laundry Linen infeksius kecil (>= 5 pcs/kg) VIP,10000
341,4,Pelayanan Laundry Linen infeksius kecil (>= 5 pcs/kg) VVIP,10000
342,4,Pelayanan Laundry Linen non infeksius besar (<= 4 pcs/kg) Kelas I,7000
343,4,Pelayanan Laundry Linen non infeksius besar (<= 4 pcs/kg) Kelas II,7000
344,4,Pelayanan Laundry Linen non infeksius besar (<= 4 pcs/kg) Kelas III,7000
345,4,Pelayanan Laundry Linen non infeksius besar (<= 4 pcs/kg) UTAMA,7000
346,4,Pelayanan Laundry Linen non infeksius besar (<= 4 pcs/kg) VIP,7000
347,4,Pelayanan Laundry Linen non infeksius besar (<= 4 pcs/kg) VVIP,7000
348,4,Pelayanan Laundry Linen non infeksius kecil (>= 5 pcs/kg) Kelas I,5000
349,4,Pelayanan Laundry Linen non infeksius kecil (>= 5 pcs/kg) Kelas II,5000
350,4,Pelayanan Laundry Linen non infeksius kecil (>= 5 pcs/kg) Kelas III,5000
351,4,Pelayanan Laundry Linen non infeksius kecil (>= 5 pcs/kg) UTAMA,5000
352,4,Pelayanan Laundry Linen non infeksius kecil (>= 5 pcs/kg) VIP,5000
353,4,Pelayanan Laundry Linen non infeksius kecil (>= 5 pcs/kg) VVIP,5000
354,4,Pelayanan Rekam Medis Rekam Medis ICU Kelas I,17500
355,4,Pelayanan Rekam Medis Rekam Medis ICU Kelas II,17500
356,4,Pelayanan Rekam Medis Rekam Medis ICU Kelas III,7000
357,4,Pelayanan Rekam Medis Rekam Medis ICU UTAMA,17500
358,4,Pelayanan Rekam Medis Rekam Medis ICU VIP,17500
359,4,Pelayanan Rekam Medis Rekam Medis ICU VVIP,17500
360,4,Pelayanan Rekam Medis Rekam Medis RI INTENSIF,17500
361,4,Pelayanan Rekam Medis Rekam Medis RI Kelas I,11500
362,4,Pelayanan Rekam Medis Rekam Medis RI Kelas II,9750
363,4,Pelayanan Rekam Medis Rekam Medis RI Kelas III,7000
364,4,Pelayanan Rekam Medis Rekam Medis RI UTAMA,14500
365,4,Pelayanan Rekam Medis Rekam Medis RI VIP,17500
366,4,Pelayanan Rekam Medis Rekam Medis RI VVIP,17500
367,4,Pemulasaraan Jenazah Penguburan jenazah Kelas I,490000
368,4,Pemulasaraan Jenazah Penguburan jenazah Kelas II,490000
369,4,Pemulasaraan Jenazah Penguburan jenazah Kelas III,490000
370,4,Pemulasaraan Jenazah Penguburan jenazah UTAMA,490000
371,4,Pemulasaraan Jenazah Penguburan jenazah VIP,490000
372,4,Pemulasaraan Jenazah Penyimpanan jenazah/ hari Kelas I,90000
373,4,Pemulasaraan Jenazah Penyimpanan jenazah/ hari Kelas II,90000
374,4,Pemulasaraan Jenazah Penyimpanan jenazah/ hari Kelas III,90000
375,4,Pemulasaraan Jenazah Penyimpanan jenazah/ hari UTAMA,90000
376,4,Pemulasaraan Jenazah Penyimpanan jenazah/ hari VIP,90000
377,4,Pemulasaraan Jenazah Perawatan jenazah normal Kelas I,304100
378,4,Pemulasaraan Jenazah Perawatan jenazah normal Kelas II,304100
379,4,Pemulasaraan Jenazah Perawatan jenazah normal Kelas III,304100
380,4,Pemulasaraan Jenazah Perawatan jenazah normal UTAMA,304100
381,4,Pemulasaraan Jenazah Perawatan jenazah normal VIP,304100
382,4,Pemulasaraan Jenazah Perawatan jenazah rusak Kelas I,416850
383,4,Pemulasaraan Jenazah Perawatan jenazah rusak Kelas II,416850
384,4,Pemulasaraan Jenazah Perawatan jenazah rusak Kelas III,416850
385,4,Pemulasaraan Jenazah Perawatan jenazah rusak UTAMA,416850
386,4,Pemulasaraan Jenazah Perawatan jenazah rusak VIP,416850
387,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (kecil) Kelas I,144900
388,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (kecil) Kelas II,144900
389,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (kecil) Kelas III,144900
390,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (kecil) UTAMA,144900
391,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (kecil) VIP,144900
392,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (sedangl) Kelas I,289800
393,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (sedangl) Kelas II,289800
394,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (sedangl) Kelas III,289800
395,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (sedangl) UTAMA,289800
396,4,Pemulasaraan Jenazah Rekonstruksi jenazah rusak (sedangl) VIP,289800
397,4,Pendaftaran Baru Pendaftaran Baru Kelas I,4500
398,4,Pendaftaran Baru Pendaftaran Baru Kelas II,4500
399,4,Pendaftaran Baru Pendaftaran Baru Kelas III,4500
400,4,Pendaftaran Baru Pendaftaran Baru (IGD) Kelas II,4500
401,4,Pendaftaran Baru Pendaftaran Baru (IGD) Kelas III,4500
402,4,Pendaftaran Lama Pendaftaran Pasien Kelas I,1500
403,4,Pendaftaran Lama Pendaftaran Pasien Kelas II,1500
404,4,Pendaftaran Lama Pendaftaran Pasien Kelas III,1500
405,4,Pendaftaran Lama Pendaftaran Pasien (IGD) Kelas II,1500
406,4,Pendaftaran Lama Pendaftaran Pasien (IGD) Kelas III,1500
407,4,Rekam Medik Kartu Pasien Digital Kelas I,3500
408,4,Rekam Medik Kartu Pasien Digital Kelas II,3500
409,4,Rekam Medik Kartu Pasien Digital Kelas III,3500
410,4,Histopatologi IBS Histopatologi Besar-IBS Kelas I,195000
411,4,Histopatologi IBS Histopatologi Besar-IBS Kelas II,195000
412,4,Histopatologi IBS Histopatologi Besar-IBS Kelas III,195000
413,4,Histopatologi IBS Histopatologi Besar-IBS UTAMA,195000
414,4,Histopatologi IBS Histopatologi Besar-IBS VIP,195000
415,4,Histopatologi IBS Histopatologi Besar-IBS VVIP,195000
416,4,Histopatologi IBS Histopatologi Sedang-IBS Kelas I,195000
417,4,Histopatologi IBS Histopatologi Sedang-IBS Kelas II,195000
418,4,Histopatologi IBS Histopatologi Sedang-IBS Kelas III,195000
419,4,Histopatologi IBS Histopatologi Sedang-IBS UTAMA,195000
420,4,Histopatologi IBS Histopatologi Sedang-IBS VIP,195000
421,4,Histopatologi IBS Histopatologi Sedang-IBS VVIP,195000
422,4,Konsultasi Dokter Konsultasi Dokter Spesialis Kelas I,38200
423,4,Konsultasi Dokter Konsultasi Dokter Spesialis Kelas II,26200
424,4,Konsultasi Dokter Konsultasi Dokter Spesialis Kelas III,16600
425,4,Konsultasi Dokter Konsultasi Dokter Spesialis UTAMA,56200
426,4,Konsultasi Dokter Konsultasi Dokter Spesialis VIP,83200
427,4,Konsultasi Dokter Konsultasi Dokter Spesialis VVIP,83200
428,4,Konsultasi Dokter Konsultasi Dokter Spesialis ICU Kelas I,56200
429,4,Konsultasi Dokter Konsultasi Dokter Spesialis ICU Kelas II,38200
430,4,Konsultasi Dokter Konsultasi Dokter Spesialis ICU Kelas III,23800
431,4,Konsultasi Dokter Konsultasi Dokter Spesialis ICU VIP,83200
432,4,Konsultasi Dokter Konsultasi Dokter Spesialis ICU VVIP,83200
433,4,Konsultasi Dokter Konsultasi Dokter Spesialis IGD Via Telepon  Kelas II,21500
434,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis Kelas I,38200
435,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis Kelas II,26200
436,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis VIP,56200
437,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis VVIP,83200
438,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis ICU Kelas I,56200
439,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis ICU Kelas II,38200
440,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis ICU VIP,83200
441,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis ICU VVIP,123700
442,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis Via Telepon Kelas I,20200
443,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis Via Telepon Kelas II,14200
444,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis Via Telepon VIP,29200
445,4,Konsultasi Dokter Konsultasi Dokter Spesialis Rehab Medis Via Telepon VVIP,42700
446,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon Kelas I,20200
447,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon Kelas II,14200
448,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon UTAMA,29200
449,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon VIP,42700
450,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon (ICU) Kelas I,29200
451,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon (ICU) Kelas II,20200
452,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon (ICU) Kelas III,16300
453,4,Konsultasi Dokter Konsultasi Dokter Spesialis Via Telepon (ICU) UTAMA,42700
